run_data_dir,method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio,source_csv,experiment,ablation_id,ablation_key
data/baseline/2,statistical,cover_vs_stego,0.045,0.05,0.2983333333333334,0.35,15,15,15,0.2533333333333333,0.3,0.2008612408983826,0.0518621493931994,0.1016498128106709,0.8666666666666667,0.3,0.25,0.3162277660168379,0.0816496580927726,0.1600333298618343,0.1299722222222222,0.0522897194531948,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/2,statistical,pre_secret_vs_secret,,,,,15,15,15,0.065,0.05,0.0854609351023696,0.022065918560186,0.0432492003779646,0.9166666666666666,0.1166666666666666,0.0,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.0325555555555555,0.0216195865699783,0.0366666666666666,0.1166666666666666,0.1016666666666666,0.2333333333333333,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,2,baseline/2
data/baseline/3,dct,cover_vs_stego,0.045,0.05,0.4433333333333333,0.5166666666666667,15,15,15,0.3983333333333334,0.475,0.1699439683570805,0.0438793439490248,0.0860035141400887,0.9333333333333332,0.4666666666666667,0.5,0.2288688541085317,0.0590936840285278,0.1158236206959146,0.2002777777777778,0.0434153298294223,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,dct,pre_secret_vs_secret,,,,,15,15,15,1.23,0.85,0.9770674051905088,0.252277719228329,0.4944643296875248,1.0,0.1333333333333333,0.25,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.6159444444444445,0.2470398567732905,0.0383333333333333,0.1166666666666666,1.2683333333333335,0.25,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,dwt,cover_vs_stego,0.045,0.05,0.4333333333333333,0.5166666666666667,15,15,15,0.3883333333333333,0.45,0.1846489590960049,0.0476761562315574,0.0934452662138525,0.9333333333333332,0.4666666666666667,0.5,0.1858058382393016,0.0479748611419282,0.0940307278381794,0.1970555555555555,0.0481246654758294,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,dwt,pre_secret_vs_secret,,,,,15,15,15,0.1416666666666666,0.125,0.0994029797388005,0.0256657390061178,0.0503048484519909,1.0,0.1166666666666666,0.0,0.1290994448735805,0.0333333333333333,0.0653333333333333,0.07175,0.0253709525507682,0.0383333333333333,0.1166666666666666,0.18,0.2333333333333333,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,lsb,cover_vs_stego,0.045,0.05,0.3700000000000001,0.4166666666666667,15,15,15,0.325,0.4499999999999999,0.2114997467070418,0.054608999781564,0.1070336395718654,0.9285714285714286,0.3666666666666666,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.1645277777777778,0.0543530293657544,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383333333333333,0.1166666666666666,0.0383333333333333,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,original,cover_vs_stego,0.045,0.05,0.37,0.4166666666666667,15,15,15,0.325,0.4499999999999999,0.2055046054402257,0.0530610609625947,0.1039996794866856,0.9333333333333332,0.3666666666666666,0.5,0.2650247068446548,0.0684290850628567,0.1341210067231992,0.1665277777777777,0.053263988888795,,,,,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
data/baseline/3,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383333333333333,0.1166666666666666,0.0383333333333333,0.1166666666666666,C:\Users\antho\Documents\School\Courses\Winter2026\CS9874_DeptAISys\FinalProj\DeepSteganographyAuditProj\data\baseline\aletheia_batch_pair_comparison.csv,baseline,3,baseline/3
