run_data_dir,method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
data\baseline\0,dwt,cover_vs_stego,cover,stego,01499.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.2,0.5,0.25,-0.0333333333333333,0.5166666666666666,0.1033333333333333,0.025,0.225,0.1,0.6,0.0,0.25,0.5333333333333333,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.025,0.1,0.0,-0.0333333333333333,0.5166666666666666,0.0129166666666666,0.0,0.025,0.0,0.1,0.0,0.0,0.5333333333333333,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.075,0.2,0.25,0.0,0.5,0.0375,0.0,0.075,0.0,0.2,0.0,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.0999999999999999,0.0,0.0,0.0,0.5,0.0499999999999999,0.075,0.175,0.3,0.3,0.25,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.15,0.5,0.25,0.0,0.5,0.075,0.0,0.15,0.0,0.5,0.0,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.075,0.2,0.25,0.0,0.5,0.0375,0.0,0.075,0.0,0.2,0.0,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.3249999999999999,1.2999999999999998,0.0,0.0,0.5,0.1624999999999999,0.1,0.425,0.4,1.7,0.25,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.125,0.4,0.25,-0.0333333333333333,0.5166666666666666,0.0645833333333333,0.0,0.125,0.0,0.4,0.0,0.25,0.5333333333333333,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.25,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.3249999999999999,1.2999999999999998,0.0,0.0,0.5,0.1624999999999999,0.15,0.475,0.4,1.7,0.25,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.1,0.3,0.0,0.0,0.5,0.05,0.025,0.125,0.1,0.4,0.25,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.1999999999999999,0.7,0.25,0.0,0.5,0.0999999999999999,0.0,0.1999999999999999,0.0,0.7,0.0,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.175,0.3999999999999999,0.25,0.0,0.5,0.0875,0.05,0.2249999999999999,0.2,0.6,0.25,0.5,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.1249999999999999,0.2,0.0,0.0,0.5,0.0624999999999999,0.05,0.175,0.2,0.4,0.25,0.25,0.5,0.5
data\baseline\0,dwt,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.2,0.4999999999999999,0.0,0.0,0.5,0.1,0.05,0.25,0.2,0.7,0.25,0.25,0.5,0.5
data\baseline\0,lsb,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00199.png,0.1,0.175,0.4,0.4,0.25,0.0,0.5,0.5,0.0749999999999999,0.0,-0.25,0.0,0.5,0.0374999999999999,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00399.png,0.0,0.15,0.0,0.6,0.0,0.25,0.5,0.5,0.15,0.6,0.25,0.0,0.5,0.075,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00499.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5666666666666667,0.5,0.5,1.0,0.5,-0.0666666666666666,0.5333333333333333,0.2666666666666666,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00699.png,0.0,0.425,0.0,0.9,0.0,0.5,0.5,0.5,0.425,0.9,0.5,0.0,0.5,0.2125,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00799.png,0.15,0.35,0.2,1.0,0.25,0.25,0.5,0.5333333333333333,0.1999999999999999,0.8,0.0,0.0333333333333333,0.5166666666666666,0.1033333333333333,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00899.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,00999.png,0.0,0.525,0.0,1.0,0.0,0.75,0.6333333333333334,0.5,0.525,1.0,0.75,-0.1333333333333334,0.5666666666666667,0.2975,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,01099.png,0.025,0.325,0.1,1.0,0.0,0.25,0.5,0.5,0.3,0.9,0.25,0.0,0.5,0.15,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,01199.png,0.0,0.525,0.0,0.9,0.0,0.75,0.5,0.5,0.525,0.9,0.75,0.0,0.5,0.2625,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,01299.png,0.4,0.25,1.6,0.6,0.25,0.5,0.5,0.5,-0.15,-1.0,0.25,0.0,0.5,-0.075,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,01399.png,0.0,0.35,0.0,1.0,0.0,0.25,0.5,0.5,0.35,1.0,0.25,0.0,0.5,0.175,,,,,,,,
data\baseline\0,lsb,cover_vs_stego,cover,stego,01499.png,0.0,0.675,0.0,1.0,0.0,0.75,0.5,0.5,0.675,1.0,0.75,0.0,0.5,0.3375,,,,,,,,
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.0,0.0,0.0,-0.0333333333333333,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.075,0.075,0.3,0.3,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.0,0.0,0.0,-0.0666666666666666,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.4,0.4,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.0,0.0,0.0,0.0333333333333333,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5333333333333333
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.0,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.15,0.15,0.4,0.4,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,01099.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,01199.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,01299.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,01399.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data\baseline\0,lsb,pre_secret_vs_secret,pre_secret,secret,01499.png,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.05,0.2,0.2,0.25,0.25,0.5,0.5
data\baseline\0,original,cover_vs_stego,cover,stego,00099.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00199.png,0.1,0.125,0.4,0.3,0.25,0.0,0.5,0.5,0.0249999999999999,-0.1,-0.25,0.0,0.5,0.0124999999999999,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00299.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00399.png,0.0,0.15,0.0,0.6,0.0,0.25,0.5,0.5,0.15,0.6,0.25,0.0,0.5,0.075,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00499.png,0.0,0.425,0.0,1.0,0.0,0.5,0.5,0.5,0.425,1.0,0.5,0.0,0.5,0.2125,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00599.png,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.25,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00699.png,0.0,0.45,0.0,0.9,0.0,0.5,0.5,0.5,0.45,0.9,0.5,0.0,0.5,0.225,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00799.png,0.15,0.35,0.2,1.0,0.25,0.25,0.5,0.5,0.1999999999999999,0.8,0.0,0.0,0.5,0.0999999999999999,,,,,,,,
data\baseline\0,original,cover_vs_stego,cover,stego,00899.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
