run_data_dir,method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
data/baseline/0,statistical,cover_vs_stego,0.045000000000000005,0.05,0.4000000000000001,0.45,15,15,15,0.35500000000000004,0.4,0.2128044038212421,0.05494586079995124,0.10769388716790443,0.9333333333333333,0.4,0.5,0.2803059552906941,0.0723746864455746,0.1418543854333262,0.18061111111111114,0.054815591061821,,,,
data/baseline/0,statistical,pre_secret_vs_secret,,,,,15,15,15,0.058333333333333334,0.05,0.06385437300906613,0.016487128216441965,0.032314771304226254,0.9166666666666666,0.1,0.0,0.1267731382092775,0.032732683535398856,0.06415605972938175,0.029249999999999998,0.016146020378844876,0.03666666666666667,0.11666666666666667,0.09499999999999999,0.21666666666666667
data/baseline/1,dct,cover_vs_stego,0.045000000000000005,0.05,0.23666666666666666,0.25,15,15,15,0.19166666666666668,0.225,0.17414758382584858,0.044964712795984775,0.08813083708013016,0.9333333333333333,0.2,0.25,0.16903085094570333,0.04364357804719848,0.08554141297250901,0.09855555555555555,0.04630598878688224,,,,
data/baseline/1,dct,pre_secret_vs_secret,,,,,15,15,15,1.3633333333333333,1.325,1.0113139731957392,0.26112014506493014,0.5117954843272631,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6836666666666666,0.25582410007225237,0.03833333333333334,0.11666666666666667,1.4016666666666666,0.23333333333333334
data/baseline/1,dwt,cover_vs_stego,0.045000000000000005,0.05,0.35000000000000003,0.4166666666666667,15,15,15,0.30500000000000005,0.375,0.2138507490217017,0.05521602596900218,0.10822341089924427,0.9333333333333333,0.36666666666666664,0.5,0.22886885410853172,0.05909368402852788,0.11582362069591465,0.15511111111111112,0.05499950337598457,,,,
data/baseline/1,dwt,pre_secret_vs_secret,,,,,15,15,15,0.18166666666666664,0.15,0.1174379268663521,0.030322342331100417,0.059431790968956816,1.0,0.16666666666666666,0.25,0.1543033499620919,0.03984095364447979,0.07808826914318039,0.09155555555555556,0.02993487624910754,0.03833333333333334,0.11666666666666667,0.22,0.2833333333333333
data/baseline/1,lsb,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.38333333333333336,15,15,15,0.26333333333333336,0.25,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.3333333333333333,0.25,0.2041241452319315,0.05270462766947299,0.10330107023216706,0.1355277777777778,0.045881874510987186,,,,
data/baseline/1,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/1,original,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.4166666666666667,15,15,15,0.26333333333333336,0.2,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.36666666666666664,0.25,0.208452346958198,0.05382216454979674,0.1054914425176016,0.13580555555555557,0.046252639577663394,,,,
data/baseline/1,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
