method,pair_name,role_a,role_b,image_name,cover_mean_score,stego_mean_score,cover_max_score,stego_max_score,cover_flagged_ratio,stego_flagged_ratio,cover_mean_conf,stego_mean_conf,score_delta,max_score_delta,flagged_ratio_delta,confidence_delta,pair_mean_conf,score_delta_conf_weighted,pre_secret_mean_score,secret_mean_score,pre_secret_max_score,secret_max_score,pre_secret_flagged_ratio,secret_flagged_ratio,pre_secret_mean_conf,secret_mean_conf
dwt,cover_vs_stego,cover,stego,00699.png,0.0,0.45,0.0,0.9,0.0,0.75,0.5,0.5,0.45,0.9,0.75,0.0,0.5,0.225,,,,,,,,
dwt,cover_vs_stego,cover,stego,00799.png,0.15000000000000002,0.5,0.2,1.0,0.25,0.5,0.5,0.5333333333333333,0.35,0.8,0.25,0.033333333333333326,0.5166666666666666,0.1808333333333333,,,,,,,,
dwt,cover_vs_stego,cover,stego,00899.png,0.0,0.375,0.0,0.8,0.0,0.5,0.5,0.5,0.375,0.8,0.5,0.0,0.5,0.1875,,,,,,,,
dwt,cover_vs_stego,cover,stego,00999.png,0.0,0.525,0.0,1.0,0.0,0.75,0.5666666666666668,0.5333333333333333,0.525,1.0,0.75,-0.03333333333333344,0.55,0.28875000000000006,,,,,,,,
dwt,cover_vs_stego,cover,stego,01099.png,0.025,0.25,0.1,1.0,0.0,0.25,0.5,0.5,0.225,0.9,0.25,0.0,0.5,0.1125,,,,,,,,
dwt,cover_vs_stego,cover,stego,01199.png,0.0,0.425,0.0,0.9,0.0,0.5,0.5,0.5,0.425,0.9,0.5,0.0,0.5,0.2125,,,,,,,,
dwt,cover_vs_stego,cover,stego,01299.png,0.4,0.2,1.6,0.5,0.25,0.5,0.5,0.5,-0.2,-1.1,0.25,0.0,0.5,-0.1,,,,,,,,
dwt,cover_vs_stego,cover,stego,01399.png,0.0,0.175,0.0,0.5,0.0,0.0,0.5,0.5,0.175,0.5,0.0,0.0,0.5,0.0875,,,,,,,,
dwt,cover_vs_stego,cover,stego,01499.png,0.0,0.45,0.0,1.0,0.0,0.5,0.5,0.5,0.45,1.0,0.5,0.0,0.5,0.225,,,,,,,,
dwt,pre_secret_vs_secret,pre_secret,secret,00099.png,,,,,,,,,0.2,0.5,0.25,-0.033333333333333326,0.5166666666666666,0.10333333333333333,0.025,0.225,0.1,0.6,0.0,0.25,0.5333333333333333,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00199.png,,,,,,,,,0.025,0.1,0.0,-0.033333333333333326,0.5166666666666666,0.012916666666666667,0.0,0.025,0.0,0.1,0.0,0.0,0.5333333333333333,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00299.png,,,,,,,,,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00399.png,,,,,,,,,0.09999999999999999,0.0,0.0,0.0,0.5,0.049999999999999996,0.075,0.175,0.3,0.3,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00499.png,,,,,,,,,0.15,0.5,0.25,0.0,0.5,0.075,0.0,0.15,0.0,0.5,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00599.png,,,,,,,,,0.07500000000000001,0.2,0.25,0.0,0.5,0.037500000000000006,0.0,0.07500000000000001,0.0,0.2,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00699.png,,,,,,,,,0.32499999999999996,1.2999999999999998,0.0,0.0,0.5,0.16249999999999998,0.1,0.425,0.4,1.7,0.25,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00799.png,,,,,,,,,0.125,0.4,0.25,-0.033333333333333326,0.5166666666666666,0.06458333333333333,0.0,0.125,0.0,0.4,0.0,0.25,0.5333333333333333,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00899.png,,,,,,,,,0.0,0.0,0.25,0.0,0.5,0.0,0.025,0.025,0.1,0.1,0.0,0.25,0.5,0.5
dwt,pre_secret_vs_secret,pre_secret,secret,00999.png,,,,,,,,,0.32499999999999996,1.2999999999999998,0.0,0.0,0.5,0.16249999999999998,0.15000000000000002,0.475,0.4,1.7,0.25,0.25,0.5,0.5
