image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
796,lsb,0.030139444395899773,33.15200424194336,0.9738166928291321,25.285165786743164,0.8197371959686279,0.3516845703125,1.0,0.0
796,dct,0.02402689680457115,33.711341857910156,0.9750111103057861,26.27555274963379,0.9357747435569763,0.3575439453125,1.0,0.0
796,dwt,0.019779371097683907,33.41051483154297,0.9733205437660217,27.143110275268555,0.9348747134208679,0.3511759440104167,1.0,0.0
796,spread_spectrum,0.2623286545276642,31.134414672851562,0.9483535289764404,15.880966186523438,0.7685444951057434,0.429473876953125,0.0,1.0
796,statistical,0.018784718587994576,32.96057891845703,0.9690771698951721,27.38412857055664,0.893442690372467,0.3402506510416667,0.0,1.0
797,original,0.027632616460323334,28.572376251220703,0.9632704854011536,25.81548309326172,0.936080276966095,0.3638509114583333,1.0,0.0
797,lsb,0.027676181867718697,28.572532653808594,0.9632670879364014,25.8082218170166,0.9360828399658203,0.3632100423177083,1.0,0.0
797,dct,0.017487309873104095,28.507539749145508,0.9574043154716492,27.941211700439453,0.9795448780059814,0.3531087239583333,0.0,1.0
797,dwt,0.019152794033288956,28.50118064880371,0.9582865238189697,27.514131546020508,0.9774265289306641,0.3557535807291667,1.0,0.0
797,spread_spectrum,0.27242153882980347,27.162322998046875,0.9177241325378418,15.736947059631348,0.8034374117851257,0.43597412109375,0.0,1.0
797,statistical,0.016729852184653282,28.29405403137207,0.95450359582901,28.1709041595459,0.9673750400543213,0.3421834309895833,0.0,1.0
798,original,0.03760581091046333,32.27662658691406,0.9860081672668457,24.324254989624023,0.7442457675933838,0.3857421875,1.0,0.0
798,lsb,0.036566153168678284,32.276588439941406,0.98598712682724,24.447782516479492,0.7453451156616211,0.3849283854166667,1.0,0.0
798,dct,0.018002774566411972,32.03453826904297,0.9836285710334778,27.603796005249023,0.949252188205719,0.3602498372395833,1.0,0.0
798,dwt,0.01380109041929245,32.065486907958984,0.9838430285453796,28.80354881286621,0.9560546875,0.3563639322916667,0.0,1.0
798,spread_spectrum,0.28422099351882935,29.893482208251953,0.9647559523582458,15.54046630859375,0.7411672472953796,0.4394429524739583,0.0,1.0
798,statistical,0.012945964001119137,31.80626106262207,0.9822046160697937,29.108051300048828,0.8976867198944092,0.3546549479166667,0.0,1.0
799,original,0.03292977064847946,30.766267776489258,0.9728119969367981,24.942949295043945,0.8422980308532715,0.3731689453125,1.0,0.0
799,lsb,0.03301426023244858,30.765573501586914,0.9728103280067444,24.93157386779785,0.8422918915748596,0.3733011881510417,1.0,0.0
799,dct,0.016436653211712837,30.49665641784668,0.9692814946174622,28.087251663208008,0.9634491801261902,0.3449808756510417,0.0,1.0
799,dwt,0.015970781445503235,30.47458839416504,0.9698401093482971,28.220577239990234,0.9655835628509521,0.342010498046875,0.0,1.0
799,spread_spectrum,0.25847870111465454,28.29142951965332,0.9477426409721375,15.956409454345703,0.7810472846031189,0.4326070149739583,0.0,1.0
799,statistical,0.01512032188475132,30.19971466064453,0.9680234789848328,28.490541458129883,0.9387409090995789,0.3379109700520833,0.0,1.0
800,original,0.03108755312860012,25.77163314819336,0.8712818026542664,25.46721649169922,0.859099805355072,0.37713623046875,1.0,0.0
800,lsb,0.031072551384568214,25.771697998046875,0.8712806701660156,25.469486236572266,0.8591046333312988,0.37750244140625,1.0,0.0
800,dct,0.01881059631705284,25.63080596923828,0.856255054473877,27.94241714477539,0.9690642952919006,0.3495585123697917,0.0,1.0
800,dwt,0.0185707900673151,25.70101547241211,0.8604139685630798,27.9956111907959,0.9658272862434387,0.3538818359375,0.0,1.0
800,spread_spectrum,0.2833794057369232,24.489566802978516,0.7860137820243835,15.59186840057373,0.7573733925819397,0.433197021484375,0.0,1.0
800,statistical,0.01763978786766529,25.593351364135742,0.851980984210968,28.27745246887207,0.9468142986297607,0.3511861165364583,0.0,1.0
801,original,0.025602076202630997,34.592342376708984,0.9778952598571777,25.981884002685547,0.9065747857093811,0.3669942220052083,1.0,0.0
801,lsb,0.025657707825303078,34.59120178222656,0.9778955578804016,25.972280502319336,0.9065050482749939,0.3667500813802083,1.0,0.0
801,dct,0.014738310128450394,34.034584045410156,0.968945324420929,28.436227798461914,0.9649446606636047,0.3390909830729167,1.0,0.0
801,dwt,0.012480724602937698,34.05864715576172,0.9696347117424011,29.17875862121582,0.9679549336433411,0.3335367838541667,1.0,0.0
801,spread_spectrum,0.22277919948101044,30.98586082458496,0.9117660522460938,16.58491325378418,0.7851724624633789,0.4167277018229167,0.0,1.0
801,statistical,0.009012901224195957,33.74067306518555,0.9646611213684082,30.66101837158203,0.9680114388465881,0.3177388509114583,0.0,1.0
802,original,0.028353657573461533,28.838886260986328,0.9681203961372375,25.684572219848633,0.87919682264328,0.37298583984375,1.0,0.0
802,lsb,0.028427109122276306,28.83904457092285,0.9681193828582764,25.672786712646484,0.8791711926460266,0.37384033203125,1.0,0.0
802,dct,0.013356518000364304,28.660110473632812,0.9659063220024109,29.212480545043945,0.9690127372741699,0.344085693359375,0.0,1.0
802,dwt,0.010375653393566608,28.705615997314453,0.9661048054695129,30.445707321166992,0.9786307215690613,0.333984375,0.0,1.0
802,spread_spectrum,0.2767207622528076,27.343019485473633,0.9405933022499084,15.668177604675293,0.7727922797203064,0.4367167154947917,0.0,1.0
802,statistical,0.009395234286785126,28.59454345703125,0.96429044008255,30.963455200195312,0.9657807350158691,0.3263651529947917,0.0,1.0
803,original,0.03268939256668091,31.756460189819336,0.9741982817649841,24.952301025390625,0.8229398131370544,0.3529154459635417,1.0,0.0
803,lsb,0.03277866542339325,31.7552490234375,0.9741969108581543,24.940250396728516,0.8228890299797058,0.352691650390625,1.0,0.0
803,dct,0.01668126881122589,31.547073364257812,0.9713395237922668,27.9671630859375,0.9593746066093445,0.338592529296875,1.0,0.0
803,dwt,0.014059480279684067,31.66029167175293,0.972491979598999,28.738840103149414,0.9640651345252991,0.330352783203125,1.0,0.0
803,spread_spectrum,0.22572100162506104,29.18724822998047,0.9426080584526062,16.536197662353516,0.7852725386619568,0.4164530436197917,0.0,1.0
803,statistical,0.01206123549491167,31.211355209350586,0.968420684337616,29.469438552856445,0.9175550937652588,0.3231608072916667,0.0,1.0
804,original,0.03230813890695572,31.156984329223633,0.9746322631835938,25.017831802368164,0.9110091328620911,0.37054443359375,1.0,0.0
804,lsb,0.03229552507400513,31.15716552734375,0.9746323227882385,25.019535064697266,0.9109991192817688,0.3704121907552083,1.0,0.0
804,dct,0.014849701896309853,30.85523796081543,0.969703197479248,28.53270149230957,0.970690906047821,0.3489278157552083,0.0,1.0
