delta,block_size,rep,label,ber_text,text_acc,method,ablation_idx,band,gain,threshold
300.0,,1.0,dwt_LL_d300_rep1,1.0,0.0,dwt,6,LL,,
400.0,,1.0,dwt_LL_d400_rep1,1.0,0.0,dwt,6,LL,,
,,,ss_g150,0.0,1.0,spread_spectrum,6,,150.0,
,,,ss_g200,0.0,1.0,spread_spectrum,6,,200.0,
,,,ss_g300,0.0,1.0,spread_spectrum,6,,300.0,
,,,ss_g500,0.0,1.0,spread_spectrum,6,,500.0,
,,,ss_g600,0.0,1.0,spread_spectrum,6,,600.0,
,4.0,,stat_b4_t80,0.0,1.0,statistical,6,,,80.0
,4.0,,stat_b4_t120,0.0,1.0,statistical,6,,,120.0
,4.0,,stat_b4_t200,0.0,1.0,statistical,6,,,200.0
,4.0,,stat_b4_t300,0.0,1.0,statistical,6,,,300.0
,8.0,,stat_b8_t60,1.0,0.0,statistical,6,,,60.0
,8.0,,stat_b8_t120,1.0,0.0,statistical,6,,,120.0
