image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
10,dct,0.02016165852546692,29.50922966003418,0.9759384989738464,27.2069034576416,0.9387330412864685,0.350860595703125,1.0,0.0
10,dwt,0.018014902248978615,29.535289764404297,0.976496696472168,27.724164962768555,0.9403362274169922,0.3494669596354167,1.0,0.0
10,spread_spectrum,0.2421131581068039,28.363643646240234,0.9385382533073425,16.23818588256836,0.776289165019989,0.4227396647135417,0.0,1.0
10,statistical,0.012902075424790382,29.34323501586914,0.9719217419624329,29.305994033813477,0.9202899932861328,0.3276774088541667,0.0,1.0
11,original,0.041092902421951294,29.618812561035156,0.9841279983520508,23.987863540649414,0.7860344052314758,0.3873189290364583,1.0,0.0
11,lsb,0.04109104350209236,29.6190242767334,0.9841279983520508,23.988086700439453,0.7860052585601807,0.386962890625,1.0,0.0
11,dct,0.026637842878699303,29.433391571044922,0.9832316040992737,25.9403133392334,0.9349980354309082,0.374725341796875,0.0,1.0
11,dwt,0.021281858906149864,29.52157211303711,0.9837037920951843,26.958181381225586,0.9515668749809265,0.365966796875,0.0,1.0
11,spread_spectrum,0.27625036239624023,27.796361923217773,0.9737420082092285,15.672657012939453,0.7752137780189514,0.4359232584635417,0.0,1.0
11,statistical,0.01766732521355152,29.262880325317383,0.982593834400177,27.83315658569336,0.9021806716918945,0.349639892578125,0.0,1.0
12,original,0.049986615777015686,33.40380859375,0.9710116982460022,23.06198501586914,0.8329378962516785,0.3989461263020833,1.0,0.0
12,lsb,0.05435899645090103,33.40510559082031,0.9711907505989075,22.69550132751465,0.8317961692810059,0.39886474609375,1.0,0.0
12,dct,0.01941312849521637,33.1153564453125,0.9668105244636536,27.233442306518555,0.9647111296653748,0.366546630859375,0.0,1.0
12,dwt,0.01565307378768921,33.19914245605469,0.969291627407074,28.19178009033203,0.9747751355171204,0.357757568359375,0.0,1.0
12,spread_spectrum,0.28027305006980896,29.491886138916016,0.9212141633033752,15.602099418640137,0.7815561890602112,0.4415486653645833,0.0,1.0
